Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,,實數,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"652,319","669,139","609,144","652,472",-2.51,7.09,11.46
,每日平均延人公里,人公里,"29,349,117","30,201,685","29,513,782","29,914,492",-2.82,-0.56,7.73
,每日平均客運收入,元,"46,491,004","49,207,562","48,205,087","48,150,551",-5.52,-3.56,7.36
,每旅客平均運程,公里,45,45.1,48.5,45.8,-0.32,-7.14,-3.34
,平均每日每公里客運密度,人,"27,751","28,557","27,906","28,285",-2.82,-0.56,7.73
,每日平均客車公里,公里,"1,136,558","1,131,845","1,088,292","1,134,185",0.42,4.43,5.26
,客座利用率,%,57.29,59.14,59.3,58.39,-1.85,-2.01,2.15
,客運列車準點率,%,91.49,95.55,95.47,94.81,-4.06,-3.98,-1.07
貨運,每日平均貨運噸數,公噸,"12,360","21,048","19,868","16,768",-41.28,-37.79,-13
,每日平均延噸公里,噸公里,"880,191","1,444,769","1,359,011","1,132,163",-39.08,-35.23,-13.9
,每日平均貨運收入,元,"1,003,641","1,712,024","1,563,850","1,330,292",-41.38,-35.82,-12.44
,每噸平均運程,公里,71.2,68.6,68.4,67.5,3.75,4.11,-1.03
,平均每日每公里貨運密度,公噸,837,"1,373","1,292","1,076",-39.08,-35.23,-13.9
,每日平均貨車公里,公里,"61,532","77,810","74,015","65,982",-20.92,-16.87,-13.03
,貨車運用比率,%,43.86,43.61,43.16,43.46,0.25,0.7,0.65
,貨運列車準點率,%,100,100,100,100,-,-,-
財務,收入,萬元,"261,797","268,243","280,169","1,051,627",-2.4,-6.56,-2.22
,支出,萬元,"338,815","350,743","259,526","1,307,996",-3.4,30.55,4.22
,損益,萬元,"-77,019","-82,500","20,644","-256,370",--,--,--
