Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,,實數,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"642,318","647,703","568,846","649,986",-0.83,12.92,11.94
,每日平均延人公里,人公里,"30,003,212","28,460,645","27,425,008","29,681,483",5.42,9.40,8.05
,每日平均客運收入,元,"46,609,488","46,092,839","44,639,141","47,546,040",1.12,4.41,6.80
,每旅客平均運程,公里,46.7,43.9,48.2,45.7,6.30,-3.11,-3.47
,平均每日每公里客運密度,人,"28,369","26,911","25,931","28,065",5.42,9.40,8.05
,每日平均客車公里,公里,"1,135,598","1,122,042","1,117,932","1,132,350",1.21,1.58,4.00
,客座利用率,%,58.55,56.14,54.63,58.04,2.41,3.92,2.62
,客運列車準點率,%,94.34,95.40,96.13,94.83,-1.06,-1.79,-1.20
貨運,每日平均貨運噸數,公噸,"15,823","15,744","17,825","16,438",0.50,-11.23,-13.94
,每日平均延噸公里,噸公里,"1,045,451","1,154,482","1,315,223","1,121,672",-9.44,-20.51,-16.20
,每日平均貨運收入,元,"1,215,883","1,336,120","1,502,835","1,312,426",-9.00,-19.09,-14.96
,每噸平均運程,公里,66.1,73.3,73.8,68.2,-9.90,-10.45,-2.63
,平均每日每公里貨運密度,公噸,994,"1,098","1,250","1,066",-9.44,-20.51,-16.20
,每日平均貨車公里,公里,"63,634","84,532","66,406","68,754",-24.72,-4.17,-7.90
,貨車運用比率,%,43.66,43.81,43.21,43.55,-0.15,0.45,0.60
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"261,401","306,833","225,235","1,619,860",-14.81,16.06,3.42
,支出,萬元,"410,971","414,992","476,259","2,133,960",-0.97,-13.71,2.35
,損益,萬元,"-149,570","-108,160","-251,025","-514,099",--,--,--
