Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"546,926","528,346","525,755","537,164",3.52,4.03,-7.13
,每日平均延人公里,人公里,"26,624,214","23,724,893","23,366,841","25,100,842",12.22,13.94,-7.08
,每日平均客運收入,元,"43,976,934","37,670,337","38,442,108","40,663,298",16.74,14.40,-8.05
,每旅客平均運程,公里,48.7,44.9,44.4,46.7,8.41,9.53,0.05
,平均每日每公里客運密度,人,"25,174","22,433","22,094","23,734",12.22,13.94,-7.08
,每日平均客車公里,公里,"1,012,623","996,295","1,007,166","1,004,044",1.64,0.54,-1.60
,客座利用率,%,56.45,51.15,50.23,53.69,5.30,6.22,-3.69
,客運列車準點率,%,93.19,84.88,96.25,88.79,8.31,-3.06,-5.99
貨運,每日平均貨運噸數,公噸,"16,683","19,774","20,695","18,307",-15.63,-19.39,-3.10
,每日平均延噸公里,噸公里,"1,042,569","1,178,574","1,410,446","1,114,029",-11.54,-26.08,-13.16
,每日平均貨運收入,元,"1,243,481","1,423,352","1,744,079","1,337,990",-12.64,-28.70,-15.76
,每噸平均運程,公里,62.5,59.6,68.2,60.9,4.85,-8.31,-10.38
,平均每日每公里貨運密度,公噸,991,"1,120","1,341","1,059",-11.54,-26.08,-13.16
,每日平均貨車公里,公里,"74,061","91,472","87,394","83,209",-19.03,-15.26,5.05
,貨車運用比率,%,41.12,40.29,42.26,40.69,0.83,-1.14,-1.08
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,總收入,萬元,"194,439","203,964","190,169","398,403",-4.67,2.25,-2.38
,總支出,萬元,"228,452","211,982","248,251","440,434",7.77,-7.98,-3.31
,損益,萬元,"-34,013","-8,018","-58,082","-42,031",--,--,--
